date,precipitation_mm
2023-01-01,2.75
2023-01-02,0.01
2023-01-03,6.94
2023-01-04,4.57
2023-01-05,1.2
2023-01-06,0.23
2023-01-07,0.04
2023-01-08,0.02
2023-01-09,0.07
2023-01-10,0.07
2023-01-11,2.4
2023-01-12,0.21
2023-01-13,0.04
2023-01-14,0.0
2023-01-15,0.01
2023-01-16,6.79
2023-01-17,4.14
2023-01-18,0.93
2023-01-19,11.01
2023-01-20,0.31
2023-01-21,0.1
2023-01-22,0.33
2023-01-23,1.89
2023-01-24,0.73
2023-01-25,1.7
2023-01-26,1.48
2023-01-27,1.38
2023-01-28,0.67
2023-01-29,2.01
2023-01-30,1.72
2023-01-31,0.11
2023-02-01,0.17
2023-02-02,2.08
2023-02-03,1.07
2023-02-04,0.25
2023-02-05,0.1
2023-02-06,0.0
2023-02-07,3.2
2023-02-08,0.31
2023-02-09,14.08
2023-02-10,1.72
2023-02-11,0.0
2023-02-12,0.05
2023-02-13,0.04
2023-02-14,1.02
2023-02-15,2.6
2023-02-16,5.86
2023-02-17,0.2
2023-02-18,0.04
2023-02-19,0.07
2023-02-20,1.08
2023-02-21,1.28
2023-02-22,8.11
2023-02-23,5.38
2023-02-24,0.27
2023-02-25,2.37
2023-02-26,0.06
2023-02-27,8.06
2023-02-28,0.44
2023-03-01,0.83
2023-03-02,0.53
2023-03-03,0.0
2023-03-04,1.67
2023-03-05,0.23
2023-03-06,4.2
2023-03-07,0.0
2023-03-08,0.0
2023-03-09,0.58
2023-03-10,2.89
2023-03-11,0.02
2023-03-12,0.65
2023-03-13,0.72
2023-03-14,0.0
2023-03-15,0.01
2023-03-16,5.23
2023-03-17,5.62
2023-03-18,4.07
2023-03-19,0.06
2023-03-20,0.02
2023-03-21,0.3
2023-03-22,1.02
2023-03-23,0.02
2023-03-24,0.0
2023-03-25,21.18
2023-03-26,0.13
2023-03-27,0.01
2023-03-28,0.0
2023-03-29,0.8
2023-03-30,1.24
2023-03-31,23.95
2023-04-01,8.26
2023-04-02,0.13
2023-04-03,0.03
2023-04-04,12.12
2023-04-05,12.42
2023-04-06,0.02
2023-04-07,0.0
2023-04-08,2.06
2023-04-09,0.02
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.1
2023-04-16,16.34
2023-04-17,4.08
2023-04-18,1.12
2023-04-19,5.96
2023-04-20,2.98
2023-04-21,0.22
2023-04-22,4.38
2023-04-23,0.47
2023-04-24,0.29
2023-04-25,0.5
2023-04-26,0.06
2023-04-27,0.05
2023-04-28,0.05
2023-04-29,8.24
2023-04-30,1.13
2023-05-01,15.45
2023-05-02,5.81
2023-05-03,0.13
2023-05-04,1.47
2023-05-05,4.09
2023-05-06,0.43
2023-05-07,19.53
2023-05-08,0.05
2023-05-09,0.0
2023-05-10,0.01
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,1.3
2023-05-19,5.19
2023-05-20,1.69
2023-05-21,0.0
2023-05-22,0.02
2023-05-23,0.0
2023-05-24,0.01
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,2.14
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.05
2023-06-04,0.0
2023-06-05,0.17
2023-06-06,0.01
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.0
2023-06-10,0.25
2023-06-11,2.97
2023-06-12,0.26
2023-06-13,5.93
2023-06-14,1.88
2023-06-15,3.25
2023-06-16,1.12
2023-06-17,0.0
2023-06-18,0.0
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.0
2023-06-25,31.84
